ID,Title,ChineseTitle,Pics,Publisher,Author,Pages,ISBN,Tags,Urls
25,Real and Abstract Analysis,实分析与抽象分析,gtm025.gif,Springer-Verlag,Edwin Hewitt ; Karl Stromberg,476,1,研究生数学教材|GTM023|实分析,http://d.119g.com/f/D592E8436DB6335D.html
26,Algebraic Theories(暂无),代数理论,gtm026.gif,Springer-Verlag,Ernest G. Manes,356,1,研究生数学教材|GTM024|代数,
27,General Topology,一般拓扑,gtm027.gif,Springer-Verlag,John L. Kelley,298,1,研究生数学教材|GTM025|拓扑,http://d.119g.com/f/656F32D84CE79C62.html
28,Commutative Algebra I(暂无),交换代数-第一卷,gtm028.gif,Springer-Verlag,Oscar Zariski ; Pierre Samuel,359,1,研究生数学教材|GTM026|交换代数,
29,Commutative Algebra II(暂无),交换代数-第二卷,gtm029.gif,Springer-Verlag,Oscar Zariski ; Pierre Samuel ; Cohen,414,1,研究生数学教材|GTM027|交换代数,
30,Lectures in Abstract Algebra I. Basic Concepts,抽象代数讲义-第1卷-基本概念,gtm030.gif,Springer-Verlag,Nathan Jacobson,217,1,研究生数学教材|GTM028|抽象代数,http://d.119g.com/f/55C444ECAC1FE924.html
31,Lectures in Abstract Algebra II. Linear Algebra,抽象代数讲义-第2卷-线性代数,gtm031.gif,Springer-Verlag,Nathan Jacobson,280,1,研究生数学教材|GTM031|抽象代数,http://d.119g.com/f/511E3535629DC55A.html
32,Lectures in Abstract Algebra III. Theory of Fields and Galois Theory.,抽象代数讲义-第3卷-域论与伽罗瓦理论,gtm032.gif,Springer-Verlag,Nathan Jacobson,323,1,研究生数学教材|GTM032|抽象代数,http://d.119g.com/f/7B1D8AD3B7A51308.html
33,Differential Topology,微分拓扑,gtm033.gif,Springer-Verlag,Morris W. Hirsch,221,1,研究生数学教材|GTM033|微分拓扑,http://d.119g.com/f/0AE068E6A56E59FA.html
34,Principles of Random Walk,随机游动原理,gtm034.gif,Springer-Verlag,Frank Spitzer,408,1,研究生数学教材|GTM034|随机游动,http://d.119g.com/f/CEE9D6262E7D17B4.html
35,Several Complex Variables and Banach Algebras,多复变量及巴拿赫代数,gtm035.gif,Springer-Verlag,Herbert Alexander ; John Wermer,253,1,研究生数学教材|GTM035|巴拿赫,http://d.119g.com/f/42CC6FBE8B0D9BBA.html
36,Linear Topological Spaces,线性拓扑空间,gtm036.gif,Springer-Verlag,John L. Kelley ; Isaac Namioka,256,1,研究生数学教材|GTM036|拓扑,http://d.119g.com/f/EC54F6F17FCE3EBE.html
37,Mathematical Logic,数理逻辑,gtm037.gif,Springer-Verlag,J. Donald Monk,243,1,研究生数学教材|GTM037|数理逻辑,http://d.119g.com/f/5D884D48B3EEEE40.html
38,Several Complex Variables,多复变量,gtm038.gif,Springer-Verlag,Grauert ; Fritzsche,207,1,研究生数学教材|GTM038|多复,http://d.119g.com/f/427A139325E6F677.html
39,An Invitation to C<sup>*</sup>-Algebras,C<sup>*</sup>代数邀请,gtm039.gif,Springer-Verlag,William Arveson,106,1,研究生数学教材|GTM039|代数,http://d.119g.com/f/6B863842482ED568.html
40,Denumerable Markov Chains,可数马尔可夫链,gtm040.gif,Springer-Verlag,Kemeny ; Snell ; Knapp,484,1,研究生数学教材|GTM040|马尔可夫,http://d.119g.com/f/477AA663F7C22CBC.html
41,Modular Functions and Dirichlet Series in Number Theory,数论中的模函数及狄利克雷级数,gtm041.gif,Springer-Verlag,Tom M. Apostol,204,1,研究生数学教材|GTM041|数伦|模,http://d.119g.com/f/F81C24A13965DFDD.html
42,Linear Representations of Finite Groups,有限群线性表示,gtm042.gif,Springer-Verlag,Jean-Pierre Serre ; Scott,188,1,研究生数学教材|GTM042|有限群,http://d.119g.com/f/E0F1C35BBC11AC8F.html
43,Rings of Continuous Functions(暂无),连续函数环,gtm043.gif,Springer-Verlag,Gillman ; Jerison,300,1,研究生数学教材|GTM043|连续函数环,
44,Elementary Algebraic Geometry,初等代数几何,gtm044.gif,Springer-Verlag,K. Kendig,315,1,研究生数学教材|GTM044|代数几何,http://d.119g.com/f/BE2C89FB0E189237.html
45,Probability Theory I,概率论-第一卷,gtm045.gif,Springer-Verlag,M. Loève,452,1,研究生数学教材|GTM045|概率,http://d.119g.com/f/776F8A27243DACA5.html
46,Probability Theory II,概率论-第二卷,gtm046.gif,Springer-Verlag,M. Loève,427,1,研究生数学教材|GTM046|概率,http://d.119g.com/f/BE7E9BB258BCE1FD.html
47,Geometric Topology in Dimensions 2 and 3,二维三维几何拓扑,gtm047.gif,Springer-Verlag,Edwin E. Moise,262,1,研究生数学教材|GTM047|几何|拓扑,http://d.119g.com/f/97D26564F8E0D62A.html
48,General Relativity for Mathematicians,写给数学家的广义相对论,gtm048.gif,Springer-Verlag,R. K. Sachs ; H. Wu,291,1,研究生数学教材|GTM048|相对论,http://d.119g.com/f/DF2CB9C91C98E1E6.html
49,Linear Geometry,线性几何,gtm049.gif,Springer-Verlag,K. W. Gruenberg ; A. J. Weir,198,1,研究生数学教材|GTM049|几何,http://d.119g.com/f/AEA6659A2C579C8F.html
50,Fermat's Last Theorem,费马大定理,gtm050.gif,Springer-Verlag,Harold M. Edwards,410,1,研究生数学教材|GTM050|费马大定理,http://d.119g.com/f/F40A40AD1D6D7BBA.html
51,A Course in Differential Geometry,微分几何教程,gtm051.gif,Springer-Verlag,Klingenberg,178,1,研究生数学教材|GTM051|微分几何,http://d.119g.com/f/9127C065BB22A559.html
52,Algebraic Geometry,代数几何,gtm052.gif,Springer-Verlag,Robin Hartshorne,496,1,研究生数学教材|GTM052|代数几何,http://d.119g.com/f/229322E303FA67C9.html
53,A Course in Mathematical Logic for Mathematicians,写给数学家的数理逻辑教程,gtm053.gif,Springer-Verlag,Yu. I. Manin ; Boris Zilber,384,1,研究生数学教材|GTM053|数理逻辑,http://d.119g.com/f/77FF4FE9AB78D71A.html
54,Combinatorics with Emphasis on the Theory of Graphs,图论上的组合学重点,gtm054.gif,Springer-Verlag,Graver ; Watkins,351,1,研究生数学教材|GTM054|图论|组合,http://d.119g.com/f/3D2D0CBBD31032F1.html
55,Introduction to Operator Theory I,算子理论导引-第一卷,gtm055.gif,Springer-Verlag,Brown ; Pearcy,474,1,研究生数学教材|GTM055|算子,http://d.119g.com/f/BA8B6F0C425E4CC3.html
56,Algebraic Topology: An Introduction,代数拓扑导引,gtm056.gif,Springer-Verlag,William S. Massey,261,1,研究生数学教材|GTM056|代数拓扑,http://d.119g.com/f/C04DA2E9D648B918.html
57,Introduction to Knot Theory,纽结理论导引,gtm057.gif,Springer-Verlag,Richard H. Crowell ; Ralph H. Fox,201,1,研究生数学教材|GTM057|纽结,http://d.119g.com/f/6ACE1AB0BDE440F7.html
58,P-adic Numbers[comma] P-adic Analysis[comma] and Zeta-Functions,p-adic数[comma]p-adic分析及Z函数,gtm058.gif,Springer-Verlag,Neal Koblitz,150,1,研究生数学教材|GTM058|p-adic|Z函数,http://d.119g.com/f/5D0A09290ED46FA8.html
59,Cyclotomic Fields,分圆域,gtm059.gif,Springer-Verlag,Serge Lang,253,1,研究生数学教材|GTM059|分圆域,http://d.119g.com/f/FC048475E251C886.html
60,Mathematical Methods of Classical Mechanics,经典力学中的数理方法,gtm060.gif,Springer-Verlag,V. I. Arnold,508,1,研究生数学教材|GTM060|力学,http://d.119g.com/f/D549FB4FC79231EE.html
61,Elements of Homotopy Theory,同伦理论论基础 ,gtm061.gif,Springer-Verlag,George W. Whitehead,744,1,研究生数学教材|GTM061|同伦,http://d.119g.com/f/EA8C78A4625A0F86.html
62,Fundamentals of the Theory of Groups,群论基础,gtm062.gif,Springer-Verlag,Kargapolov ; Merzljakov ; Burns,203,1,研究生数学教材|GTM062|群论,http://d.119g.com/f/4E7015BFBE96F2A4.html
63,Graph Theory,图论,gtm063.gif,Springer-Verlag,Béla Bollobás,180,1,研究生数学教材|GTM063|图论,http://d.119g.com/f/00EB9D9552D55FE6.html
64,Fourier Series I,傅里叶级数-第一卷,gtm064.gif,Springer-Verlag,Edwards,224,1,研究生数学教材|GTM064|傅里叶级数,http://d.119g.com/f/23A6B6949D05E050.html
65,Differential Analysis on Complex Manifolds,复流形上的差分分析,gtm065.gif,Springer-Verlag,R.O. Wells Jr.,260,1,研究生数学教材|GTM065|差分|流形,http://d.119g.com/f/1DB41B6FF0E90422.html
66,Introduction to Affine Group Schemes,仿射群概型导引,gtm066.gif,Springer-Verlag,W. C. Waterhouse,164,1,研究生数学教材|GTM066|仿射群,http://d.119g.com/f/BBC1174FBA51E591.html
67,Local Fields,局部域,gtm067.gif,Springer-Verlag,Jean-Pierre Serre ; Greenberg,241,1,研究生数学教材|GTM067|域,http://d.119g.com/f/0BFE40CB0527EE5E.html
68,Linear Operators on Hilbert Spaces,希尔伯特空间上的线性算子,gtm068.gif,Springer-Verlag,Weidmann ; Szuecs,402,1,研究生数学教材|GTM068|算子|希尔伯特空间,http://d.119g.com/f/BBC890957C04FB09.html
69,Cyclotomic Fields II,分圆域-第二卷,gtm069.gif,Springer-Verlag,Serge Lang,253,1,研究生数学教材|GTM069|分圆域,http://d.119g.com/f/69D386479EC00DB8.html
70,Singular Homology Theory,奇异同伦理论,gtm070.gif,Springer-Verlag,William S. Massey,265,1,研究生数学教材|GTM070|同伦,http://d.119g.com/f/1075C103D76C940D.html
71,Riemann Surfaces,黎曼曲面,gtm071.gif,Springer-Verlag,Herschel Farkas ; Irwin Kra,363,1,研究生数学教材|GTM071|黎曼曲面,http://d.119g.com/f/A327575F71E451E2.html
72,Classical Topology and Combinatorial Group Theory,经典拓扑及组合图论,gtm072.gif,Springer-Verlag,John Stillwell,334,1,研究生数学教材|GTM072|拓扑|图论,http://d.119g.com/f/609D5769E253E560.html
73,Algebra,代数,gtm073.gif,Springer-Verlag,Thomas W. Hungerford,502,1,研究生数学教材|GTM073|代数,http://d.119g.com/f/7411BFA1F22CD80D.html
74,Multiplicative Number Theory,乘法数论,gtm074.gif,Springer-Verlag,Harold Davenport ; Hugh Montgomery,177,1,研究生数学教材|GTM074|数论,http://d.119g.com/f/703D22F4BEB23EBA.html
75,Basic Theory of Algebraic Groups and Lie Algebras,代数群及李代数基本理论,gtm075.gif,Springer-Verlag,G. P. Hochschild,267,1,研究生数学教材|GTM075|李代数|群,http://d.119g.com/f/A82B950E5A08FE43.html
76,Algebraic Geometry,代数几何,gtm076.gif,Springer-Verlag,Iitaka,357,1,研究生数学教材|GTM076|代数几何,http://d.119g.com/f/640EC054485D018F.html
77,Lectures on the Theory of Algebraic Numbers,代数数论讲义,gtm077.gif,Springer-Verlag,Erich. Hecke,239,1,研究生数学教材|GTM077|代数数论,http://d.119g.com/f/BD62A17B981FCF7B.html
78,A Course in?Universal Algebra,泛代数教程,gtm078.gif,Springer-Verlag,Burris ;  Sankappanavar,281,1,研究生数学教材|GTM078|泛代数,http://d.119g.com/f/026622E8382CD1C6.html
79,An Introduction to Ergodic Theory,遍历理论导引,gtm079.gif,Springer-Verlag,Peter Walters,250,1,研究生数学教材|GTM079|遍历,http://d.119g.com/f/4FB608640736D228.html
80,A Course in the Theory of Groups,群论教程,gtm080.gif,Springer-Verlag,Derek J.S. Robinson,499,1,研究生数学教材|GTM080|群论,http://d.119g.com/f/5385220E69A1671B.html
81,Lectures on Riemann Surfaces,黎曼曲面讲义,gtm081.gif,Springer-Verlag,Forster ; Gilligan,254,1,研究生数学教材|GTM081|黎曼曲面,http://d.119g.com/f/675581D4C28F3FCB.html
82,Differential Forms in Algebraic Topology,代数拓扑中的微分形式,gtm082.gif,Springer-Verlag,Raoul Bott ; Loring Tu,331,1,研究生数学教材|GTM082|代数拓扑|微分形式,http://d.119g.com/f/FA0C897D191F1F8D.html
83,Introduction to Cyclotomic Fields,分圆域导引,gtm083.gif,Springer-Verlag,Lawrence C. Washington,487,1,研究生数学教材|GTM083|分圆域,http://d.119g.com/f/BA484E1FA769E899.html
84,A Classical Introduction to Modern Number Theory,现代数论经典导引,gtm084.gif,Springer-Verlag,Ireland ; Rosen,389,1,研究生数学教材|GTM084|数论,http://d.119g.com/f/03C0D7DCC1970414.html
85,Fourier Series II: A Modern Introduction,傅里叶级数-第二卷-现代观点导引,gtm085.gif,Springer-Verlag, R. E. Edwards,369,1,研究生数学教材|GTM085|傅里叶级数,http://d.119g.com/f/C058B20F4E1D1150.html
86,Introduction to Coding Theory,编码理论导引,gtm086.gif,Springer-Verlag,J. H. van Lint,227,1,研究生数学教材|GTM086|编码,http://d.119g.com/f/9B9C2D7DCCDC73A2.html
87,Cohomology of Groups,上同调群,gtm087.gif,Springer-Verlag,Kenneth S. Brown,306,1,研究生数学教材|GTM087|同调,http://d.119g.com/f/AB5ED2E5424F9509.html
88,Associative Algebras,结合代数,gtm088.gif,Springer-Verlag,R. S. Pierce,436,1,研究生数学教材|GTM088|结合代数,http://d.119g.com/f/E98B178A99DDEF58.html
89,Introduction to Algebraic and Abelian Functions,代数和交换函数导引,gtm089.gif,Springer-Verlag,Serge Lang,169,1,研究生数学教材|GTM089|交换函数,http://d.119g.com/f/7F3919A00B19A973.html
90,An Introduction to Convex Polytopes,凸多面体导引,gtm090.gif,Springer-Verlag,Arne Brondsted,160,1,研究生数学教材|GTM090|多面体,http://d.119g.com/f/438891112CAA2347.html
91,The Geometry of Discrete Groups,离散群几何,gtm091.gif,Springer-Verlag,Alan F. Beardon,337,1,研究生数学教材|GTM091|离散群,http://d.119g.com/f/547FC5FDCFE5A191.html
92,Sequences and Series in Banach Spaces,巴拿赫空间中的序列与级数,gtm092.gif,Springer-Verlag,J. Diestel,261,1,研究生数学教材|GTM092|序列|级数,http://d.119g.com/f/C1AFCC7D13277378.html
93,Modern Geometry - Methods and Applications I,现代几何-方法与应用-第一卷,gtm093.gif,Springer-Verlag,Dubrovin ; Fomenko ; Novikov,468,1,研究生数学教材|GTM093|几何,http://d.119g.com/f/F76565FA5B122C3B.html
94,Foundations of Differentiable Manifolds and Lie Groups,微分流形及李群基础,gtm094.gif,Springer-Verlag,Frank W. Warner,272,1,研究生数学教材|GTM094|微分流形|李群,http://d.119g.com/f/0B6DC79C67BC5877.html
95,Probability,概率,gtm095.gif,Springer-Verlag,Shiryaev ; Boas,621,1,研究生数学教材|GTM095|概率,http://d.119g.com/f/D12C305EEC0CE763.html
96,A Course in Functional Analysis,泛函分析教程,gtm096.gif,Springer-Verlag,John B. Conway,399,1,研究生数学教材|GTM096|泛函,http://d.119g.com/f/912D9DD1B500CDBB.html
97,Introduction to Elliptic Curves and Modular Forms,椭圆曲线与模型式导引,gtm097.gif,Springer-Verlag,Neal Koblitz,248,1,研究生数学教材|GTM097|椭圆曲线|模型式,http://d.119g.com/f/D7D89A642CDF4FBE.html
98,Representations of Compact Lie Groups,紧致李群表示,gtm098.gif,Springer-Verlag,Broecker ; Dieck,313,1,研究生数学教材|GTM098|李群,http://d.119g.com/f/7ECFA8CC31988F3A.html
99,Finite Reflection Groups,有限反射群,gtm099.gif,Springer-Verlag,Grove ; Benson,133,1,研究生数学教材|GTM099|反射群,http://d.119g.com/f/98F5A5E84DD0726A.html
100,Harmonic Analysis on Semigroups,半群上的调和分析,gtm100.gif,Springer-Verlag,Berg ; Christensen ; Ressel,289,1,研究生数学教材|GTM100|半群|调和分析,http://d.119g.com/f/F3F893F893C33710.html
101,Galois Theory,伽罗瓦理论,gtm101.gif,Springer-Verlag,Harold M. Edwards,152,1,研究生数学教材|GTM101|伽罗瓦,http://d.119g.com/f/129952CB8D8C9B43.html
102,Lie Groups[comma] Lie Algebras[comma] and Their Representations,李群、李代数及其表示,gtm102.gif,Springer-Verlag,V. S. Varadarajan,430,1,研究生数学教材|GTM102|李群|李代数,http://d.119g.com/f/2C6D8BE50681106E.html
103,Complex Analysis,复分析,gtm103.gif,Springer-Verlag,Serge Lang,485,1,研究生数学教材|GTM103|复分析,http://d.119g.com/f/245A5BC52D08F6EC.html
104,Modern Geometry - Methods and Applications II,现代几何-方法与应用-第二卷,gtm104.gif,Springer-Verlag,Dubrovin ; Fomenko ; Novikov,430,1,研究生数学教材|GTM104|几何,http://d.119g.com/f/D0F79E805B027A27.html
105,SL<sub>2</sub>(R),SL<sub>2</sub>(R),gtm105.gif,Springer-Verlag,Serge Lang,428,1,研究生数学教材|GTM105|SL<sub>2</sub>,http://d.119g.com/f/2CB869F12403BE50.html
106,The Arithmetic of Elliptic Curves,椭圆曲线算术,gtm106.gif,Springer-Verlag,Joseph H. Silverman,400,1,研究生数学教材|GTM106|椭圆曲线,http://d.119g.com/f/478060A951489C52.html
107,Applications of Lie Groups to Differential Equations,李群在微分方程中的应用,gtm107.gif,Springer-Verlag,Peter J. Olver,513,1,研究生数学教材|GTM107|李群|李代数,http://d.119g.com/f/964842B6D5182097.html
108,Holomorphic Functions and Integral Representations in Several Complex Variables,多复变函数中的全纯函数与积分表示,gtm108.gif,Springer-Verlag,R. Michael Range,386,1,研究生数学教材|GTM108|全纯函数|多复,http://d.119g.com/f/3307C4BD507D8AB4.html
109,Univalent Functions and Teichmüller Spaces,单叶函数Teichmüller空间,gtm109.gif,Springer-Verlag,O. Lehto,386,1,研究生数学教材|GTM109|单叶函数,http://d.119g.com/f/C648C198F4ACC595.html
110,Algebraic Number Theory,代数数论,gtm110.gif,Springer-Verlag,Serge Lang,357,1,研究生数学教材|GTM110|代数数论,http://d.119g.com/f/A3A54264795134B8.html
111,Elliptic Curves,椭圆曲线,gtm111.gif,Springer-Verlag,Dale Husemoller,511,1,研究生数学教材|GTM111|椭圆曲线,http://d.119g.com/f/A7D5E2D567758734.html
112,Elliptic Functions,椭圆方程,gtm112.gif,Springer-Verlag,Serge Lang,326,1,研究生数学教材|GTM112|椭圆方程,http://d.119g.com/f/93D1B45379BA5F2D.html
113,Brownian Motion and Stochastic Calculus,布朗运动和随机微积分,gtm113.gif,Springer-Verlag,Ioannis Karatzas ; Steven Shreve,470,1,研究生数学教材|GTM113|布朗运动,http://d.119g.com/f/7D643BC1A36D261D.html
114,A Course in Number Theory and Cryptography,数论及密码学教程,gtm114.gif,Springer-Verlag,Neal Koblitz,235,1,研究生数学教材|GTM114|数论|密码学,http://d.119g.com/f/FA1DAECBA904C27B.html
115,Differential Geometry,微分几何,gtm115.gif,Springer-Verlag,Berger ; Gostiaux ; Levy,486,1,研究生数学教材|GTM115|微分几何,http://d.119g.com/f/24826188936C0AAF.html
116,Measure and Integral,测度与积分,gtm116.gif,Springer-Verlag,John L. Kelley ; Srinivasan,150,1,研究生数学教材|GTM116|测度|积分,http://d.119g.com/f/DB189950FFA26A5B.html
117,Algebraic Groups and Class Fields,代数群及经典域,gtm117.gif,Springer-Verlag,Jean-Pierre Serre,207,1,研究生数学教材|GTM117|代数群|域,http://d.119g.com/f/AEA837E8D9EAA2AF.html
118,Analysis Now,当代分析学,gtm118.gif,Springer-Verlag,Gert K. Pedersen,277,1,研究生数学教材|GTM118|分析,http://d.119g.com/f/04392E27AC5F0DDF.html
119,An Introduction to Algebraic Topology,代数拓扑导引,gtm119.gif,Springer-Verlag,Joseph J. Rotman,433,1,研究生数学教材|GTM119|代数拓扑,http://d.119g.com/f/0956A214F708E31F.html
120,Weakly Differentiable Functions,弱可微函数,gtm120.gif,Springer-Verlag,William P. Ziemer,308,1,研究生数学教材|GTM120|弱可微,http://d.119g.com/f/CCB5A886D8F25685.html
121,Cyclotomic Fields I-II(暂无),分圆域-合卷,gtm121.gif,Springer-Verlag,Serge Lang ; Karl Rubin,433,1,研究生数学教材|GTM121|分圆域,
122,Theory of Complex Functions,复变函数论,gtm122.gif,Springer-Verlag,Remmert ;  Burckel,453,1,研究生数学教材|GTM122|复变函数,http://d.119g.com/f/20A3F427D177561C.html
123,Numbers,数,gtm123.gif,Springer-Verlag,Lamotke ; Ewing ; Ebbinghaus,391,1,研究生数学教材|GTM123|数,http://d.119g.com/f/F029F99A9621BEF5.html
124,Modern Geometry - Methods and Applications III,现代几何-方法与应用-第三卷,gtm124.gif,Springer-Verlag,B. A. Dubrovin ; Anatoly Timofeevich Fomenko ; Sergei Novikov,416,1,研究生数学教材|GTM124|几何,http://d.119g.com/f/412E3E897CB84C7F.html
125,Complex Variables,复变函数论,gtm125.gif,Springer-Verlag,Berenstein ; Gay,650,1,研究生数学教材|GTM125|复变函数,http://d.119g.com/f/BAFBB4B789175614.html
126,Linear Algebraic Groups,线性代数群,gtm126.gif,Springer-Verlag,Armand Borel,288,1,研究生数学教材|GTM126|线性代数群,http://d.119g.com/f/09B38A4E7CCF843D.html
127,A Basic Course in Algebraic Topology,代数拓扑基础教程,gtm127.gif,Springer-Verlag,William S. Massey,428,1,研究生数学教材|GTM127|代数拓扑,http://d.119g.com/f/48EF2E839825A78E.html
128,Partial Differential Equations,偏微分方程,gtm128.gif,Springer-Verlag,Jeffrey Rauch,263,1,研究生数学教材|GTM128|偏微分方程,http://d.119g.com/f/F0507B4C6CBC9A88.html
129,Representation Theory,表示论,gtm129.gif,Springer-Verlag,William Fulton ; Joe Harris,551,1,研究生数学教材|GTM129|表示论,http://d.119g.com/f/08DE4D000EF9D61C.html
130,Tensor Geometry,张量几何,gtm130.gif,Springer-Verlag,C. T. J. Dodson ; T. Poston,432,1,研究生数学教材|GTM130|张量几何,http://d.119g.com/f/6F122C59961B9927.html
131,A First Course in Noncommutative Rings,非交换环初级教程,gtm131.gif,Springer-Verlag,T. Y. Lam,385,1,研究生数学教材|GTM131|非交换环,http://d.119g.com/f/55B819F553C76D3F.html
132,Iteration of Rational Functions,有理函数迭代,gtm132.gif,Springer-Verlag,Alan F. Beardon,280,1,研究生数学教材|GTM132|有理函数|迭代,http://d.119g.com/f/6A2D6E5D7524898F.html
133,Algebraic Geometry: A First Class,代数几何：初步课程,gtm133.gif,Springer-Verlag,Joe Harris,328,1,研究生数学教材|GTM133|代数几何,http://d.119g.com/f/5EF686AED6DA8704.html
134,Coding and Information Theory,编码与信息理论,gtm134.gif,Springer-Verlag,Steven Roman,486,1,研究生数学教材|GTM134|编码|信息,http://d.119g.com/f/471E88DA5F1AA85D.html
135,Advanced Linear Algebra,高级线性代数,gtm135.gif,Springer-Verlag,Steven Roman,524,1,研究生数学教材|GTM135|线性代数,http://d.119g.com/f/76B897231DA26B44.html
136,Algebra: an Approach via Module Theory,代数：模理论方法,gtm136.gif,Springer-Verlag,Adkins ; Weintraub,526,1,研究生数学教材|GTM136|代数,http://d.119g.com/f/D0390CE0856806A1.html
137,Harmonic Function Theory,调和函数理论,gtm137.gif,Springer-Verlag,Axler ; Bourdon,276,1,研究生数学教材|GTM137|调和函数,http://d.119g.com/f/B539F57C7137B5D7.html
138,A Course in Computational Algebraic Number Theory,计算代数数论教程,gtm138.gif,Springer-Verlag,Henri Cohen,545,1,研究生数学教材|GTM138|代数数论,http://d.119g.com/f/C80E636D33B35E07.html
139,Topology and Geometry,拓扑与几何,gtm139.gif,Springer-Verlag,Glen E. Bredon,557,1,研究生数学教材|GTM139|拓扑|几何,http://d.119g.com/f/3A37D155BADF1A8A.html
140,Optima and Equilibria,最优与均衡,gtm140.gif,Springer-Verlag,Jean-Pierre Aubin,429,1,研究生数学教材|GTM140|博弈论,http://d.119g.com/f/B86586531D59B9FC.html
141,Gr?bner Bases,Gr?bner基,gtm141.gif,Springer-Verlag,Becker ; Weispfenning ; Kredel,574,1,研究生数学教材|GTM141|基,http://d.119g.com/f/6D4C8612F9ADB075.html
142,Real and Functional Analysis,实分析与泛函分析,gtm142.gif,Springer-Verlag,Serge Lang,580,1,研究生数学教材|GTM142|实分析|泛函分析,http://d.119g.com/f/4050D8AA0996B646.html
143,Measure Theory,测度论,gtm143.gif,Springer-Verlag,J. L. Doob,304,1,研究生数学教材|GTM143|测度,http://d.119g.com/f/F4A5299F39399663.html
144,Noncommutative Algebra,非交换代数,gtm144.gif,Springer-Verlag,Farb ; Dennis,223,1,研究生数学教材|GTM144|非交换代数,http://d.119g.com/f/D7D52B73A523A8BD.html
145,Homology Theory,同伦论,gtm145.gif,Springer-Verlag,James W. Vick,242,1,研究生数学教材|GTM145|同伦,http://d.119g.com/f/BA267AF79D29CF91.html
146,Computability,可计算性,gtm146.gif,Springer-Verlag,Douglas S. Bridges,178,1,研究生数学教材|GTM146|可计算性,http://d.119g.com/f/661754B97303D835.html
147,Algebraic K-Theory and Its Applications,代数K理论及其应用,gtm147.gif,Springer-Verlag,Jonathan Rosenberg,392,1,研究生数学教材|GTM147|K理论,http://d.119g.com/f/2599AE7EE8320B23.html
148,An Introduction to the Theory of Groups,群论导引,gtm148.gif,Springer-Verlag,Joseph J. Rotman,513,1,研究生数学教材|GTM148|群论,http://d.119g.com/f/7CAE843F5C0E2A36.html
149,Foundations of Hyperbolic Manifolds,双曲流形基础,gtm149.gif,Springer-Verlag,John G. Ratcliffe,792,1,研究生数学教材|GTM149|双曲流形,http://d.119g.com/f/A2E97D8C1F7119CE.html
150,Commutative Algebra: with a View Toward Algebraic Geometry,交换代数：代数几何观点,gtm150.gif,Springer-Verlag,David Eisenbud,785,1,研究生数学教材|GTM150|交换代数,http://d.119g.com/f/605B9F4261361CB2.html
151,Advanced Topics in the Arithmetic of Elliptic Curves,椭圆曲线算术高级研讨,gtm151.gif,Springer-Verlag,Joseph H. Silverman,525,1,研究生数学教材|GTM151|椭圆曲线,http://d.119g.com/f/409EDBD80EFD3538.html
152,Lectures on Polytopes,多面体讲义,gtm152.gif,Springer-Verlag,Günter M. Ziegler,373,1,研究生数学教材|GTM152|多面体,http://d.119g.com/f/8F65D228077254B3.html
153,Algebraic Topology,代数拓扑,gtm153.gif,Springer-Verlag,William Fulton,430,1,研究生数学教材|GTM153|代数拓扑,http://d.119g.com/f/686E5790D5707C4C.html
154,An Introduction to Analysis,分析学导引,gtm154.gif,Springer-Verlag,Brown ; Pearcy,297,1,研究生数学教材|GTM154|分析,http://d.119g.com/f/A46E74D2745CD2C9.html
155,Quantum Groups,量子群,gtm155.gif,Springer-Verlag,Christian Kassel,531,1,研究生数学教材|GTM155|量子群,http://d.119g.com/f/14935DFB6FB76179.html
