ID,Title,ChineseTitle,Pics,Publisher,Author,Pages,ISBN,Tags,Urls
188,Lectures on the Hyperreals,超实数讲义,gtm188.gif,Springer-Verlag,Robert Goldblatt,289,1,研究生数学教材|GTM188|超实数,http://d.119g.com/f/0CB2AE8A9B90B548.html
189,Lectures on Modules and Rings,模与环讲义,gtm189.gif,Springer-Verlag,Tsit-Yuen Lam,557,1,研究生数学教材|GTM189|模|环,http://d.119g.com/f/1A9CBCFD00D118B2.html
190,Problems in Algebraic Number Theory,代数数论问题集,gtm190.gif,Springer-Verlag,Esmonde ; Murty,368,1,研究生数学教材|GTM190|代数数论,http://d.119g.com/f/0C058A0A8AA6CDB7.html
191,Fundamentals of Differential Geometry,微分几何基础,gtm191.gif,Springer-Verlag,Serge Lang,535,1,研究生数学教材|GTM191|微分几何,http://d.119g.com/f/FA9C79F7D402D35F.html
192,Elements of Functional Analysis,泛函分析基础,gtm192.gif,Springer-Verlag,Hirsch ; Lacombe,393,1,研究生数学教材|GTM192|泛函分析,http://d.119g.com/f/FFFD73B79BE5E6EC.html
193,Advanced Topics in Computational Number Theory,计算数论高级研讨,gtm193.gif,Springer-Verlag,Henri Cohen,578,1,研究生数学教材|GTM193|计算数论,http://d.119g.com/f/9BFC2984D0EFF37C.html
194,One-Parameter Semigroups for Linear Evolution Equations,单参数半群的线性发展方程,gtm194.gif,Springer-Verlag,Engel ; Nagel,607,1,研究生数学教材|GTM194|发展方程|半群,http://d.119g.com/f/D6600BECC496F7CE.html
195,Elementary Methods in Number Theory,数论中的初等方法,gtm195.gif,Springer-Verlag,Melvyn B. Nathanson,513,1,研究生数学教材|GTM195|数论,http://d.119g.com/f/846FBA4568EAAEBF.html
196,Basic Homological Algebra,基本同调代数,gtm196.gif,Springer-Verlag,M. Scott Osborne,395,1,研究生数学教材|GTM196|同调代数,http://d.119g.com/f/E3A01CB166F1F384.html
197,The Geometry of Schemes,概型几何,gtm197.gif,Springer-Verlag,Eisenbud ; Joe Harris,294,1,研究生数学教材|GTM197|概型几何,http://d.119g.com/f/0612A1909F384931.html
198,A Course in p-adic Analysis,P进数分析教程,gtm198.gif,Springer-Verlag,Alain Robert,437,1,研究生数学教材|GTM198|P进数,http://d.119g.com/f/57E2E0950BA4502A.html
199,Theory of Bergman Spaces,Bergman空间理论,gtm199.gif,Springer-Verlag,Hedenmalm ; Korenblum ; Zhu,286,1,研究生数学教材|GTM199|Bergman空间,http://d.119g.com/f/264648C1DF8844F2.html
200,An Introduction to Riemann-Finsler Geometry,Riemann-Finsler几何导引,gtm200.gif,Springer-Verlag,David Bao ; Shiing-Shen Chern ; Zhongmin Shen,431,1,研究生数学教材|GTM200|Riemann-Finsler几何,http://d.119g.com/f/421603B7E2A9376E.html
201,Diophantine Geometry,丢番图几何,gtm201.gif,Springer-Verlag,Hindry ; Joseph H. Silverman,558,1,研究生数学教材|GTM201|丢番图几何,http://d.119g.com/f/9E48E5306F0DD916.html
202,Introduction to Topological Manifolds,拓扑流形导引,gtm202.gif,Springer-Verlag,John M. Lee,433,1,研究生数学教材|GTM202|拓扑流形,http://d.119g.com/f/6D5AECE5F3C0215D.html
203,The Symmetric Group,对称群,gtm203.gif,Springer-Verlag,Bruce E. Sagan,238,1,研究生数学教材|GTM203|对称群,http://d.119g.com/f/5ED240EE14708D0B.html
204,Galois Theory,伽罗瓦理论,gtm204.gif,Springer-Verlag,Jean-Pierre Escofier,152,1,研究生数学教材|GTM204|伽罗瓦理论,http://d.119g.com/f/EA34619BB104F984.html
205,Rational Homotopy Theory,有理同伦论,gtm205.gif,Springer-Verlag,Yves Félix ; Stephen Halperin ; Jean-Claude Thomas,535,1,研究生数学教材|GTM205|同伦,http://d.119g.com/f/CC5711ABB7D1472B.html
206,Problems in Analytic Number Theory,解析数论问题集,gtm206.gif,Springer-Verlag,M. Ram Murty,502,1,研究生数学教材|GTM206|解析数论,http://d.119g.com/f/208FE53179ED192C.html
207,Algebraic Graph Theory,代数图论,gtm207.gif,Springer-Verlag,Godsil ; Royle,439,1,研究生数学教材|GTM207|代数图论,http://d.119g.com/f/06950CAC6DA69C01.html
208,Analysis for Applied Mathematics,应用数学分析,gtm208.gif,Springer-Verlag,Ward Cheney,444,1,研究生数学教材|GTM208|数学分析,http://d.119g.com/f/4010C3C186C13027.html
209,A Short Course on Spectral Theory,谱理论简明教程,gtm209.gif,Springer-Verlag,William Arveson,152,1,研究生数学教材|GTM209|谱,http://d.119g.com/f/2E8FB501CF3DDCCD.html
210,Number Theory in Function Fields,函数域中的数论,gtm210.gif,Springer-Verlag,Michael Rosen,358,1,研究生数学教材|GTM210|数论|函数域,http://d.119g.com/f/550F0FE7A5610B41.html
211,Algebra,代数,gtm211.gif,Springer-Verlag,Serge Lang,914,1,研究生数学教材|GTM211|代数,http://d.119g.com/f/6105A6FF031B3F17.html
212,Lectures on Discrete Geometry,离散几何讲义,gtm212.gif,Springer-Verlag,Ji?í Matou?ek,481,1,研究生数学教材|GTM212|离散几何,http://d.119g.com/f/754268EC0E88C0AE.html
213,From Holomorphic Functions to Complex Manifolds,从全纯函数到复流形,gtm213.gif,Springer-Verlag,Fritzsche ; Grauert,392,1,研究生数学教材|GTM213|全纯函数|复流形,http://d.119g.com/f/C2F985B0E02EAF75.html
214,Partial Differential Equations,偏微分方程,gtm214.gif,Springer-Verlag,Juergen Jost,356,1,研究生数学教材|GTM214|偏微分方程,http://d.119g.com/f/EAC89619ADE6C14B.html
215,Algebraic Functions and Projective Curves,代数函数和射影曲线,gtm215.gif,Springer-Verlag,David Goldschmidt,195,1,研究生数学教材|GTM215|代数函数|射影曲线,http://d.119g.com/f/2E164C21B9C535D8.html
216,Matrices,矩阵,gtm216.gif,Springer-Verlag,Denis Serre,289,1,研究生数学教材|GTM216|矩阵,http://d.119g.com/f/FA8511380443F52B.html
217,Model Theory: An Introduction,模型论导引,gtm217.gif,Springer-Verlag,David Marker,350,1,研究生数学教材|GTM217|模型论,http://d.119g.com/f/C9B69D7C5B845A13.html
218,Introduction to Smooth Manifolds,光滑流形导引,gtm218.gif,Springer-Verlag,John M. Lee,628,1,研究生数学教材|GTM218|光滑流形,http://d.119g.com/f/9480AE89654AAFE5.html
219,The Arithmetic of Hyperbolic 3-Manifolds,双曲三维流形算术,gtm219.gif,Springer-Verlag,Maclachlan ; Reid,463,1,研究生数学教材|GTM219|双曲三维流形,http://d.119g.com/f/ED993BF707C32AA8.html
220,Smooth Manifolds and Observables,光滑流形及直观,gtm220.gif,Springer-Verlag,Jet Nestruev,234,1,研究生数学教材|GTM220|光滑流形,http://d.119g.com/f/977C3DEC38B58F6B.html
221,Convex Polytopes,凸多面体,gtm221.gif,Springer-Verlag,Branko Grünbaum,466,1,研究生数学教材|GTM221|凸多面体,http://d.119g.com/f/08C9734A131A5DC2.html
222,Lie Groups[comma] Lie Algebras[comma] and Representations,李群、李代数和表示,gtm222.gif,Springer-Verlag,Brian C. Hall,351,1,研究生数学教材|GTM222|李群|李代数,http://d.119g.com/f/1B18CFE930849194.html
223,Fourier Analysis and its Applications,傅里叶分析及其应用,gtm223.gif,Springer-Verlag,Anders Vretblad,269,1,研究生数学教材|GTM223|傅里叶分析,http://d.119g.com/f/8A623DFC5B450C95.html
224,Metric Structures in Differential Geometry,微分几何中的度量结构,gtm224.gif,Springer-Verlag,Walschap,226,1,研究生数学教材|GTM224|微分几何|度量,http://d.119g.com/f/0AB72F4F67ACEE8B.html
225,Lie Groups,李群,gtm225.gif,Springer-Verlag,Daniel Bump,451,1,研究生数学教材|GTM225|李群,http://d.119g.com/f/9E80270962FBB3E4.html
226,Spaces of Holomorphic Functions in the Unit Ball,单位球中的全纯函数空间,gtm226.gif,Springer-Verlag,Kehe Zhu,271,1,研究生数学教材|GTM226|全纯函数,http://d.119g.com/f/76B61E7BC4688BC9.html
227,Combinatorial Commutative Algebra,组合交换代数,gtm227.gif,Springer-Verlag,Ezra Miller ; Bernd Sturmfels,417,1,研究生数学教材|GTM227|交换代数,http://d.119g.com/f/8A8C6C1E8985642D.html
228,A First Course in Modular Forms,模型式初级教程,gtm228.gif,Springer-Verlag,Fred Diamond ; J. Shurman,436,1,研究生数学教材|GTM228|模型式,http://d.119g.com/f/0B37F0FE26F4B81B.html
229,The Geometry of Syzygies,合冲几何,gtm229.gif,Springer-Verlag,David Eisenbud,243,1,研究生数学教材|GTM229|合冲几何,http://d.119g.com/f/885C71DD8D47B374.html
230,An Introduction to Markov Processes,马尔科夫过程导引,gtm230.gif,Springer-Verlag,Daniel W. Stroock,171,1,研究生数学教材|GTM230|马尔科夫过程,http://d.119g.com/f/0CE69B93B1345B2B.html
231,Combinatorics of Coxeter Groups,组合Coxeter群,gtm231.gif,Springer-Verlag,Anders Bj?rner ; Francesco Brenti,363,1,研究生数学教材|GTM231|Coxeter群,http://d.119g.com/f/4BA587AD07CFDE9B.html
232,An Introduction to Number Theory,数论导引,gtm232.gif,Springer-Verlag,Everest ; Ward,294,1,研究生数学教材|GTM232|数论,http://d.119g.com/f/B974DE6B4F081AF1.html
233,Topics in Banach Space Theory,巴拿赫空间理论研讨,gtm233.gif,Springer-Verlag,Albiac ; Kalton,373,1,研究生数学教材|GTM233|巴拿赫空间,http://d.119g.com/f/F6C14DE7B02BCDC9.html
234,Analysis and Probability ,分析与概率,gtm234.gif,Springer-Verlag,Palle E. T. J?rgensen ; Brian Treadway,276,1,研究生数学教材|GTM234|小波分析,http://d.119g.com/f/7E7CAA7D1F3D3775.html
235,Compact Lie Groups,紧致李群,gtm235.gif,Springer-Verlag,M. R. Sepanski,198,1,研究生数学教材|GTM235|李群,http://d.119g.com/f/21026E290299A029.html
236,Bounded Analytic Functions,有界解析函数,gtm236.gif,Springer-Verlag,Garnett,476,1,研究生数学教材|GTM236|解析函数,http://d.119g.com/f/DC468A3046062485.html
237,An Introduction to Operators on the Hardy-Hilbert Space,哈代-希尔伯特空间上的算子导引,gtm237.gif,Springer-Verlag,Rubén A. Martínez-Avenda?o ; Peter Rosenthal,220,1,研究生数学教材|GTM237|哈代-希尔伯特空间,http://d.119g.com/f/76D92E74FEEBDCD5.html
